x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
60,-0.000102984,2,60.1712,1,5.14918e-05,5.14918e-05,0,0,0,0,0,0,-8.36783e-05
62,0,2,62.1712,1,4.22732e-06,4.22732e-06,0,0,0,0,0,0,-6.22874e-05
64,8.45463e-06,0.1,64.1712,1,2.40129e-05,2.40129e-05,0,0,0,0,0,0,-2.8338e-06
64.1,1.08559e-05,0.1,64.2712,1,3.08329e-05,3.08329e-05,0,0,0,0,0,0,2.02636e-05
64.2,1.39392e-05,0.1,64.3712,1,3.95898e-05,3.95898e-05,0,0,0,0,0,0,0.000103144
64.3,1.78982e-05,0.1,64.4712,1,5.08336e-05,5.08336e-05,0,0,0,0,0,0,0.000132435
64.4,2.29816e-05,0.1,64.5712,1,6.52705e-05,6.52705e-05,0,0,0,0,0,0,0.000170044
64.5,2.95086e-05,0.1,64.6712,1,8.38071e-05,8.38071e-05,0,0,0,0,0,0,0.000218329
64.6,3.78893e-05,0.1,64.7712,1,0.000107607,0.000107607,0,0,0,0,0,0,0.000280321
64.7,4.865e-05,0.1,64.8712,1,0.000138165,0.000138165,0,0,0,0,0,0,0.000359909
64.8,6.24666e-05,0.1,64.9712,1,0.000177399,0.000177399,0,0,0,0,0,0,0.000462082
